timeraw,date,player,change,elo,rank
1680199994,"Thursday, March 30, 2023 8:13 PM","finx80#6969",17,2034,"Ascendant 3"
1679965835,"Tuesday, March 28, 2023 3:10 AM","Basil#007",-21,1079,"Gold 2"
1679967071,"Tuesday, March 28, 2023 3:31 AM","Basil#007",-21,1058,"Gold 2"
1679969297,"Tuesday, March 28, 2023 4:08 AM","Basil#007",16,1074,"Gold 2"
1680042829,"Wednesday, March 29, 2023 12:33 AM","Basil#007",-25,1049,"Gold 2"
1680044394,"Wednesday, March 29, 2023 12:59 AM","Basil#007",-13,1036,"Gold 2"
1680145373,"Thursday, March 30, 2023 5:02 AM","Basil#007",-8,1028,"Gold 2"
1680148226,"Thursday, March 30, 2023 5:50 AM","Basil#007",-20,1008,"Gold 2"
1680199386,"Thursday, March 30, 2023 8:03 PM","Basil#007",19,1027,"Gold 2"
1680202798,"Thursday, March 30, 2023 8:59 PM","Basil#007",-18,1009,"Gold 2"
1680204520,"Thursday, March 30, 2023 9:28 PM","Basil#007",14,1023,"Gold 2"
1680206775,"Thursday, March 30, 2023 10:06 PM","Basil#007",-18,1005,"Gold 2"
1680219598,"Friday, March 31, 2023 1:39 AM","Basil#007",-21,1000,"Gold 2"
1680363769,"Saturday, April 1, 2023 5:42 PM","S is for Salt#TF77",20,1830,"Ascendant 1"
1680363769,"Saturday, April 1, 2023 5:42 PM","finx80#6969",16,2050,"Ascendant 3"
1680373595,"Saturday, April 1, 2023 8:26 PM","S is for Salt#TF77",16,1846,"Ascendant 1"
1679636006,"Friday, March 24, 2023 6:33 AM","Ouress#NA2",17,1752,"Diamond 3"
1679704513,"Saturday, March 25, 2023 1:35 AM","Ouress#NA2",-14,1738,"Diamond 3"
1679706986,"Saturday, March 25, 2023 2:16 AM","Ouress#NA2",17,1755,"Diamond 3"
1679773797,"Saturday, March 25, 2023 8:49 PM","Ouress#NA2",25,1780,"Diamond 3"
1679778033,"Saturday, March 25, 2023 10:00 PM","Ouress#NA2",-12,1768,"Diamond 3"
1679780118,"Saturday, March 25, 2023 10:35 PM","Ouress#NA2",14,1782,"Diamond 3"
1680119314,"Wednesday, March 29, 2023 9:48 PM","Ouress#NA2",-18,1764,"Diamond 3"
1680121342,"Wednesday, March 29, 2023 10:22 PM","Ouress#NA2",25,1789,"Diamond 3"
1680123221,"Wednesday, March 29, 2023 10:53 PM","Ouress#NA2",-15,1774,"Diamond 3"
1680302113,"Saturday, April 1, 2023 12:35 AM","Ouress#NA2",-14,1760,"Diamond 3"
1680304807,"Saturday, April 1, 2023 1:20 AM","Ouress#NA2",-18,1742,"Diamond 3"
1679937486,"Monday, March 27, 2023 7:18 PM","Baman#0000",26,910,"Gold 1"
1679939571,"Monday, March 27, 2023 7:52 PM","Baman#0000",16,926,"Gold 1"
1680142805,"Thursday, March 30, 2023 4:20 AM","Baman#0000",-15,911,"Gold 1"
1680145373,"Thursday, March 30, 2023 5:02 AM","Baman#0000",-21,900,"Gold 1"
1680200416,"Thursday, March 30, 2023 8:20 PM","Baman#0000",31,931,"Gold 1"
1680202798,"Thursday, March 30, 2023 8:59 PM","Baman#0000",-24,907,"Gold 1"
1680380104,"Saturday, April 1, 2023 10:15 PM","S is for Salt#TF77",19,1865,"Ascendant 1"
1680380104,"Saturday, April 1, 2023 10:15 PM","Ouress#NA2",21,1763,"Diamond 3"
1680384554,"Saturday, April 1, 2023 11:29 PM","S is for Salt#TF77",17,1882,"Ascendant 1"
1680384554,"Saturday, April 1, 2023 11:29 PM","finx80#6969",17,2067,"Ascendant 3"
1680384554,"Saturday, April 1, 2023 11:29 PM","Ouress#NA2",20,1783,"Diamond 3"
1680386740,"Sunday, April 2, 2023 12:05 AM","S is for Salt#TF77",-25,1857,"Ascendant 1"
1680386740,"Sunday, April 2, 2023 12:05 AM","finx80#6969",-23,2044,"Ascendant 3"
1680386740,"Sunday, April 2, 2023 12:05 AM","Ouress#NA2",-20,1763,"Diamond 3"
1680388657,"Sunday, April 2, 2023 12:37 AM","S is for Salt#TF77",18,1875,"Ascendant 1"
1680388657,"Sunday, April 2, 2023 12:37 AM","finx80#6969",19,2060,"Ascendant 3"
1680388657,"Sunday, April 2, 2023 12:37 AM","Ouress#NA2",25,1788,"Diamond 3"
1680391212,"Sunday, April 2, 2023 1:20 AM","S is for Salt#TF77",-19,1856,"Ascendant 1"
1680391212,"Sunday, April 2, 2023 1:20 AM","Ouress#NA2",-17,1771,"Diamond 3"
